"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.809071100E-2,3.511467278E-1,1.566700578E0,4.317250252E0,4.606137695E0
2.024235600E-2,3.846462369E-1,1.504487276E0,4.279563427E0,4.552592428E0
2.239473900E-2,4.175475538E-1,1.456630826E0,4.337589264E0,4.594649056E0
2.454701000E-2,4.893322289E-1,1.380658627E0,4.476971149E0,4.710513236E0
2.669905300E-2,6.227321029E-1,1.342971683E0,4.650450706E0,4.880374984E0
2.885121700E-2,9.900303483E-1,1.301097274E0,4.911866665E0,5.176818361E0
3.100311200E-2,1.185643673E0,1.196411371E0,5.090730190E0,5.362153015E0
3.316596900E-2,1.176072359E0,1.009172916E0,5.014758110E0,5.248749858E0
3.535778200E-2,1.219143152E0,8.368897438E-1,4.977669239E0,5.192676143E0
3.754538400E-2,1.309472203E0,6.735795736E-1,4.916652203E0,5.132435657E0
3.976999300E-2,1.453041553E0,5.485545993E-1,4.784449100E0,5.030228136E0
4.195277400E-2,1.591227055E0,4.468596280E-1,4.622933388E0,4.909501011E0
4.415163600E-2,1.792224169E0,3.308077157E-1,4.424329281E0,4.784996426E0
4.633838300E-2,2.002792597E0,2.243271172E-1,4.215555191E0,4.672516068E0
4.853726600E-2,2.227119684E0,1.316052526E-1,3.993022680E0,4.574014884E0
5.073394100E-2,2.509472847E0,5.862415582E-2,3.808775425E0,4.561541516E0
5.293093200E-2,2.824727058E0,-4.785645287E-3,3.677768469E0,4.637357736E0
5.512670300E-2,3.202194929E0,-6.400800496E-2,3.518047571E0,4.757605291E0
5.731672600E-2,3.555734396E0,-1.082752272E-1,3.454039574E0,4.958362633E0
5.949523300E-2,3.942773581E0,-1.519442350E-1,3.409173965E0,5.214500713E0
6.171521400E-2,4.377668858E0,-2.291127741E-1,3.451048374E0,5.579087037E0
6.390387400E-2,4.855635166E0,-3.014956415E-1,3.546163082E0,6.020246265E0
6.608753900E-2,5.347360611E0,-3.828516304E-1,3.678964853E0,6.501970722E0
6.830240200E-2,5.848656654E0,-4.833501875E-1,3.826721668E0,7.006012474E0
7.049409300E-2,6.354738712E0,-5.934200287E-1,3.969692707E0,7.516203272E0
7.268276400E-2,6.875775814E0,-7.184450030E-1,4.022335052E0,7.998227025E0
7.489110700E-2,7.410571575E0,-8.578268886E-1,4.070191383E0,8.498170152E0
7.708163900E-2,7.897511005E0,-1.015753269E0,4.313661098E0,9.055943179E0
7.926269900E-2,8.283951759E0,-1.171884894E0,4.719244480E0,9.605646226E0
8.147865200E-2,8.593822479E0,-1.357328653E0,5.076373100E0,1.007301791E1
8.367432000E-2,8.870193481E0,-1.557129383E0,5.352146149E0,1.047618503E1
8.587688600E-2,9.123234749E0,-1.781456470E0,5.569892883E0,1.083654494E1
8.806669600E-2,9.289535522E0,-2.033899307E0,5.739783287E0,1.110753478E1
9.025672900E-2,9.533005714E0,-2.287538528E0,5.781059742E0,1.138119863E1
9.243356700E-2,9.642477036E0,-2.580060959E0,5.711069584E0,1.150001712E1
9.465652900E-2,9.570692062E0,-2.876770973E0,5.578267574E0,1.144513114E1
9.685219800E-2,9.369695663E0,-3.145365477E0,5.434100151E0,1.127891685E1
9.905349100E-2,9.092127800E0,-3.379263878E0,5.380261898E0,1.109204356E1
1.012428720E-1,8.737990379E0,-3.627519131E0,5.392824173E0,1.089008372E1
1.034323770E-1,8.350951195E0,-3.841676712E0,5.410171986E0,1.066615332E1
1.056106310E-1,7.944170952E0,-4.012763500E0,5.398207664E0,1.040926362E1
1.078315360E-1,7.590631485E0,-4.127619267E0,5.295316696E0,1.013386925E1
1.100238380E-1,7.337590694E0,-4.161716938E0,5.059025288E0,9.836354098E0
1.122146040E-1,7.290332317E0,-4.059423447E0,4.465006828E0,9.463833789E0
1.144204250E-1,7.468597889E0,-3.864408493E0,3.437289715E0,9.084523543E0
1.166155440E-1,7.392625332E0,-3.811168194E0,3.517449379E0,9.030413193E0
1.188153530E-1,7.229315281E0,-3.851248026E0,4.119244099E0,9.168603096E0
1.210069010E-1,7.003791809E0,-3.850649834E0,5.041079044E0,9.449501668E0
1.232090690E-1,6.720840454E0,-3.726821184E0,5.717649937E0,9.578643607E0
1.254272090E-1,6.339185238E0,-3.497708559E0,5.484349728E0,9.082803894E0
1.275913450E-1,6.000600815E0,-3.317648649E0,5.026721954E0,8.501878399E0
1.298053930E-1,5.761917114E0,-3.256033421E0,4.938187599E0,8.257550438E0
1.320010420E-1,5.661418438E0,-3.259024382E0,5.248656273E0,8.379814516E0
1.341899250E-1,5.823532104E0,-3.329612732E0,5.426921844E0,8.628518287E0
