"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.836524100E-2,0.000000000E0,4.307080805E-2,9.774680138E0,9.774775030E0
4.053430700E-2,-4.785645287E-3,4.307080805E-2,9.774680138E0,9.774776202E0
4.272390300E-2,4.785645287E-3,4.785645381E-2,9.803394318E0,9.803512294E0
4.492610300E-2,4.785645287E-3,5.264209956E-2,9.798608780E0,9.798751355E0
4.714736600E-2,4.785645287E-3,5.264209956E-2,9.803394318E0,9.803536823E0
4.934402100E-2,4.785645287E-3,5.264209956E-2,9.803394318E0,9.803536823E0
5.154005600E-2,-9.571290575E-3,6.281159073E-2,9.827322960E0,9.827528350E0
5.373646700E-2,9.571290575E-3,4.366901144E-2,9.812965393E0,9.813067227E0
5.592604300E-2,1.435693540E-2,3.828516230E-2,9.793823242E0,9.793908595E0
5.812015400E-2,0.000000000E0,4.785645381E-2,9.779465675E0,9.779582769E0
6.030918000E-2,0.000000000E0,3.828516230E-2,9.779465675E0,9.779540615E0
6.248618300E-2,0.000000000E0,4.785645381E-2,9.769894600E0,9.770011808E0
6.470777100E-2,-9.571290575E-3,4.785645381E-2,9.765109062E0,9.765231019E0
6.690400800E-2,0.000000000E0,4.307080805E-2,9.784252167E0,9.784346966E0
6.910628900E-2,4.785645287E-3,4.307080805E-2,9.774680138E0,9.774776202E0
7.129726800E-2,0.000000000E0,4.785645381E-2,9.789037704E0,9.789154684E0
7.349796300E-2,0.000000000E0,4.785645381E-2,9.793823242E0,9.793940164E0
7.570472900E-2,0.000000000E0,4.785645381E-2,9.793823242E0,9.793940164E0
7.788314500E-2,-4.785645287E-3,4.785645381E-2,9.784252167E0,9.784370373E0
8.007895600E-2,0.000000000E0,3.828516230E-2,9.784252167E0,9.784327070E0
8.227183800E-2,-4.785645287E-3,4.785645381E-2,9.793823242E0,9.793941333E0
8.447109600E-2,1.435693540E-2,3.409772366E-2,9.808179855E0,9.808249632E0
8.666693800E-2,4.785645287E-3,4.785645381E-2,9.789037704E0,9.789155853E0
8.886445800E-2,-4.785645287E-3,3.888336942E-2,9.798608780E0,9.798687098E0
9.105952600E-2,4.785645287E-3,4.307080805E-2,9.774680138E0,9.774776202E0
9.325461500E-2,-9.571290575E-3,5.264209956E-2,9.769894600E0,9.770041110E0
9.544375300E-2,-4.785645287E-3,4.307080805E-2,9.779465675E0,9.779561692E0
9.762120300E-2,0.000000000E0,4.785645381E-2,9.798608780E0,9.798725645E0
9.984236300E-2,0.000000000E0,5.264209956E-2,9.774680138E0,9.774821890E0
1.020437480E-1,1.914258115E-2,4.785645381E-2,9.784252167E0,9.784387929E0
1.042633130E-1,4.785645287E-3,4.785645381E-2,9.779465675E0,9.779583940E0
1.064244160E-1,-1.914258115E-2,4.785645381E-2,9.793823242E0,9.793958872E0
1.086009990E-1,4.785645287E-3,5.742774159E-2,9.789037704E0,9.789207324E0
1.108156400E-1,-4.785645287E-3,5.742774159E-2,9.798608780E0,9.798778234E0
1.130174730E-1,-9.571290575E-3,4.785645381E-2,9.789037704E0,9.789159363E0
1.152203850E-1,-9.571290575E-3,3.828516230E-2,9.793823242E0,9.793902749E0
1.174092780E-1,9.571290575E-3,3.828516230E-2,9.798608780E0,9.798688248E0
1.196047330E-1,4.785645287E-3,3.828516230E-2,9.789037704E0,9.789113741E0
1.218008190E-1,-4.785645287E-3,5.264209956E-2,9.779465675E0,9.779608529E0
1.239981560E-1,9.571290575E-3,3.828516230E-2,9.803394318E0,9.803473747E0
1.261941190E-1,0.000000000E0,5.264209956E-2,9.784252167E0,9.784393781E0
1.283823010E-1,-4.785645287E-3,3.349951655E-2,9.789037704E0,9.789096194E0
1.305589680E-1,-1.914258115E-2,4.785645381E-2,9.784252167E0,9.784387929E0
1.327797420E-1,9.571290575E-3,4.307080805E-2,9.789037704E0,9.789137137E0
1.349712090E-1,0.000000000E0,3.828516230E-2,9.789037704E0,9.789112571E0
1.371582200E-1,-4.785645287E-3,4.785645381E-2,9.774680138E0,9.774798460E0
1.393682020E-1,0.000000000E0,5.742774159E-2,9.789037704E0,9.789206154E0
1.415681740E-1,-9.571290575E-3,5.264209956E-2,9.798608780E0,9.798754861E0
1.437787750E-1,9.571290575E-3,5.742774159E-2,9.760323524E0,9.760497162E0
1.459559710E-1,0.000000000E0,4.307080805E-2,9.793823242E0,9.793917949E0
1.481511710E-1,4.785645287E-3,4.307080805E-2,9.793823242E0,9.793919118E0
1.503437980E-1,1.435693540E-2,3.828516230E-2,9.789037704E0,9.789123099E0
1.525432710E-1,-1.914258115E-2,4.785645381E-2,9.779465675E0,9.779601504E0
1.547392550E-1,-9.571290575E-3,3.409772366E-2,9.798608780E0,9.798672782E0
1.569355650E-1,-4.785645287E-3,4.785645381E-2,9.784252167E0,9.784370373E0
1.591330750E-1,0.000000000E0,4.785645381E-2,9.789037704E0,9.789154684E0
1.613231990E-1,1.435693540E-2,4.307080805E-2,9.784252167E0,9.784357500E0
1.635033850E-1,0.000000000E0,4.785645381E-2,9.784252167E0,9.784369203E0
1.657182800E-1,-9.571290575E-3,4.366901144E-2,9.803394318E0,9.803496251E0
1.679199100E-1,0.000000000E0,4.785645381E-2,9.784252167E0,9.784369203E0
1.701385170E-1,-9.571290575E-3,4.307080805E-2,9.774680138E0,9.774779716E0
1.723062820E-1,4.785645287E-3,4.307080805E-2,9.793823242E0,9.793919118E0
1.744959690E-1,0.000000000E0,4.307080805E-2,9.789037704E0,9.789132458E0
1.766638150E-1,0.000000000E0,4.785645381E-2,9.798608780E0,9.798725645E0
1.788676320E-1,-1.914258115E-2,4.785645381E-2,9.784252167E0,9.784387929E0
1.810645930E-1,-9.571290575E-3,2.871387079E-2,9.784252167E0,9.784298981E0
1.832852150E-1,-9.571290575E-3,4.785645381E-2,9.779465675E0,9.779587453E0
1.854612500E-1,0.000000000E0,3.888336942E-2,9.803394318E0,9.803471429E0
1.876839780E-1,4.785645287E-3,4.307080805E-2,9.798608780E0,9.798704609E0
1.898735640E-1,-9.571290575E-3,4.845465720E-2,9.798608780E0,9.798733259E0
1.920814490E-1,-1.914258115E-2,3.888336942E-2,9.793823242E0,9.793919137E0
1.942863740E-1,-9.571290575E-3,4.307080805E-2,9.793823242E0,9.793922626E0
1.964584430E-1,4.785645287E-3,3.349951655E-2,9.779465675E0,9.779524222E0
1.986502460E-1,0.000000000E0,3.828516230E-2,9.793823242E0,9.793898072E0
2.008217660E-1,-4.785645287E-3,3.349951655E-2,9.793823242E0,9.793881703E0
2.030496290E-1,0.000000000E0,4.307080805E-2,9.793823242E0,9.793917949E0
2.052445350E-1,4.785645287E-3,4.307080805E-2,9.769894600E0,9.769990711E0
2.074403250E-1,-9.571290575E-3,4.785645381E-2,9.765109062E0,9.765231019E0
2.096114180E-1,0.000000000E0,3.828516230E-2,9.769894600E0,9.769969613E0
2.118335950E-1,-4.785645287E-3,4.785645381E-2,9.784252167E0,9.784370373E0
2.140228760E-1,-9.571290575E-3,4.307080805E-2,9.789037704E0,9.789137137E0
2.162050560E-1,-9.571290575E-3,5.264209956E-2,9.784252167E0,9.784398462E0
2.184194620E-1,0.000000000E0,3.828516230E-2,9.779465675E0,9.779540615E0
2.206158620E-1,0.000000000E0,4.307080805E-2,9.784252167E0,9.784346966E0
2.228156310E-1,9.571290575E-3,4.307080805E-2,9.774680138E0,9.774779716E0
2.249961530E-1,0.000000000E0,6.281159073E-2,9.803394318E0,9.803595536E0
2.272090130E-1,4.785645287E-3,4.785645381E-2,9.789037704E0,9.789155853E0
2.294226560E-1,4.785645287E-3,5.264209956E-2,9.789037704E0,9.789180419E0
2.315990370E-1,9.571290575E-3,4.307080805E-2,9.798608780E0,9.798708115E0
2.337910750E-1,4.785645287E-3,4.307080805E-2,9.793823242E0,9.793919118E0
2.359811690E-1,-4.785645287E-3,5.264209956E-2,9.793823242E0,9.793965887E0
2.381825440E-1,-9.571290575E-3,4.845465720E-2,9.798608780E0,9.798733259E0
2.403810000E-1,4.785645287E-3,4.307080805E-2,9.784252167E0,9.784348137E0
2.425776960E-1,-4.785645287E-3,3.828516230E-2,9.789037704E0,9.789113741E0
2.447475370E-1,1.435693540E-2,3.828516230E-2,9.798608780E0,9.798694091E0
2.469682390E-1,9.571290575E-3,4.785645381E-2,9.779465675E0,9.779587453E0
2.491610090E-1,4.785645287E-3,3.828516230E-2,9.784252167E0,9.784328241E0
2.513638390E-1,0.000000000E0,4.785645381E-2,9.789037704E0,9.789154684E0
2.535539840E-1,-1.435693540E-2,4.785645381E-2,9.789037704E0,9.789165212E0
2.557499670E-1,4.785645287E-3,5.264209956E-2,9.798608780E0,9.798751355E0
2.579463170E-1,1.435693540E-2,4.785645381E-2,9.803394318E0,9.803521638E0
2.601356080E-1,-9.571290575E-3,5.264209956E-2,9.793823242E0,9.793969394E0
2.623125890E-1,-1.435693540E-2,3.888336942E-2,9.798608780E0,9.798696447E0
2.645353580E-1,-4.785645287E-3,4.307080805E-2,9.789037704E0,9.789133627E0
2.667305990E-1,9.571290575E-3,3.349951655E-2,9.789037704E0,9.789099704E0
2.689316290E-1,4.785645287E-3,5.264209956E-2,9.789037704E0,9.789180419E0
2.711203380E-1,-1.435693540E-2,4.307080805E-2,9.789037704E0,9.789142986E0
2.733192420E-1,-9.571290575E-3,4.785645381E-2,9.774680138E0,9.774801975E0
2.755228250E-1,0.000000000E0,3.828516230E-2,9.769894600E0,9.769969613E0
2.777089120E-1,-4.785645287E-3,5.264209956E-2,9.784252167E0,9.784394951E0
2.799053430E-1,0.000000000E0,5.264209956E-2,9.789037704E0,9.789179249E0
2.820994850E-1,1.435693540E-2,4.307080805E-2,9.789037704E0,9.789142986E0
2.842977580E-1,-4.785645287E-3,4.366901144E-2,9.803394318E0,9.803492747E0
2.864923790E-1,-4.785645287E-3,3.828516230E-2,9.793823242E0,9.793899242E0
2.886885460E-1,-9.571290575E-3,3.888336942E-2,9.798608780E0,9.798690604E0
2.908836750E-1,4.785645287E-3,5.264209956E-2,9.784252167E0,9.784394951E0
2.930800760E-1,4.785645287E-3,5.742774159E-2,9.784252167E0,9.784421869E0
2.952705070E-1,-9.571290575E-3,5.802594870E-2,9.798608780E0,9.798785264E0
2.974524410E-1,1.435693540E-2,4.307080805E-2,9.774680138E0,9.774785574E0
2.996701340E-1,0.000000000E0,4.307080805E-2,9.784252167E0,9.784346966E0
3.018638490E-1,-9.571290575E-3,4.785645381E-2,9.765109062E0,9.765231019E0
3.040617050E-1,-9.571290575E-3,5.264209956E-2,9.784252167E0,9.784398462E0
3.062548200E-1,4.785645287E-3,4.307080805E-2,9.798608780E0,9.798704609E0
3.084443950E-1,-4.785645287E-3,3.349951655E-2,9.793823242E0,9.793881703E0
