"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.404845600E-2,2.769692242E-1,3.450450182E0,7.194619656E0,7.984038477E0
1.630091400E-2,3.583251834E-1,3.421138287E0,7.104290485E0,7.893258352E0
1.849388500E-2,4.348955154E-1,3.405584812E0,6.951747894E0,7.753318052E0
2.068689800E-2,5.114658475E-1,3.400201082E0,6.842276573E0,7.657657175E0
2.287755200E-2,6.119644046E-1,3.390031576E0,6.723831654E0,7.554914071E0
2.507347500E-2,6.789634228E-1,3.384647608E0,6.637690067E0,7.481695008E0
2.726947900E-2,7.698906660E-1,3.412763357E0,6.580860615E0,7.453013605E0
2.946187100E-2,8.416753411E-1,3.450450182E0,6.552744865E0,7.453354219E0
3.164584100E-2,8.847461939E-1,3.498306751E0,6.562315941E0,7.488986344E0
3.385857000E-2,8.991031051E-1,3.546163082E0,6.571887493E0,7.521526721E0
3.605597800E-2,9.086744189E-1,3.555734396E0,6.591030121E0,7.543912403E0
3.825467700E-2,9.469595551E-1,3.580260992E0,6.619743824E0,7.585249466E0
4.044698900E-2,9.894321561E-1,3.555734396E0,6.615556240E0,7.575474074E0
4.263624900E-2,1.037288666E0,3.512663603E0,6.597012043E0,7.545551090E0
4.481356700E-2,1.056431174E0,3.412165165E0,6.621538639E0,7.523542509E0
4.703534800E-2,1.080359459E0,3.321237803E0,6.607779503E0,7.473991374E0
4.922837100E-2,1.075573802E0,3.259024382E0,6.598208427E0,7.437368713E0
5.141873000E-2,1.074975610E0,3.220739365E0,6.560521603E0,7.387095391E0
5.362440800E-2,1.108475089E0,3.206382275E0,6.536593437E0,7.364554167E0
5.581944700E-2,1.199402332E0,3.205784082E0,6.508477688E0,7.353631712E0
5.801995700E-2,1.333400369E0,3.205784082E0,6.490531445E0,7.360842789E0
6.021203500E-2,1.467398524E0,3.224328518E0,6.501298904E0,7.403812549E0
6.240809900E-2,1.639083505E0,3.229114056E0,6.550352097E0,7.484710075E0
6.460416400E-2,1.816152334E0,3.224328518E0,6.623332977E0,7.587044446E0
6.680153200E-2,2.002194405E0,3.201596737E0,6.849454880E0,7.821383270E0
6.899726300E-2,2.201995134E0,3.169293642E0,7.181458950E0,8.152702461E0
7.119579900E-2,2.407179594E0,3.108276606E0,7.513463020E0,8.479859882E0
7.339457000E-2,2.626721144E0,3.052643538E0,7.855038643E0,8.827226553E0
7.560628100E-2,2.927020311E0,2.957528830E0,8.087141991E0,9.094849656E0
7.778265200E-2,3.232703447E0,2.846860647E0,8.137989998E0,9.207707007E0
8.000255100E-2,3.524029493E0,2.693121910E0,8.088338852E0,9.224582098E0
8.216160900E-2,3.796213150E0,2.529811859E0,7.975875854E0,9.188350122E0
8.434622000E-2,4.030709743E0,2.341975212E0,7.811369419E0,9.096645598E0
8.655998500E-2,4.207180500E0,2.158924341E0,7.660023689E0,9.002071150E0
8.876302900E-2,4.336392879E0,1.985444546E0,7.479963779E0,8.871085130E0
9.096472000E-2,4.398606300E0,1.860419631E0,7.313662529E0,8.734904589E0
9.315429600E-2,4.360321045E0,1.812563181E0,7.275377274E0,8.673459481E0
9.534359600E-2,4.288536549E0,1.831705689E0,7.231708050E0,8.604899347E0
9.751413800E-2,4.255036831E0,1.864607096E0,7.149754047E0,8.526492889E0
9.971752700E-2,4.278964996E0,1.902294040E0,7.044469833E0,8.458889956E0
1.019399590E-1,4.284348965E0,1.939980984E0,6.900900364E0,8.351143521E0
